day,server_name,key,total_count,number_of_player,proportion
4,4,Logins,528,228,2.3157894736842106
4,5,BlockBreak,31955,321,99.54828660436137
4,5,BlockPlace,23052,321,71.81308411214954
4,5,Chat,136,321,0.4236760124610592
4,5,Death,847,321,2.6386292834890965
4,5,Kicks,61,321,0.19003115264797507
4,5,KilledBy,298,321,0.9283489096573209
4,5,Logins,772,321,2.4049844236760123
4,6,BlockBreak,104757,244,429.33196721311475
4,6,BlockPlace,79850,244,327.25409836065575
4,6,Chat,564,244,2.3114754098360657
4,6,CraftedItems,2530,244,10.368852459016393
4,6,Death,483,244,1.9795081967213115
4,6,Kicks,41,244,0.1680327868852459
4,6,KilledBy,265,244,1.0860655737704918
4,6,Logins,923,244,3.7827868852459017
4,7,BlockBreak,5729,111,51.612612612612615
4,7,BlockPlace,3551,111,31.99099099099099
4,7,Chat,31,111,0.27927927927927926
4,7,CraftedItems,419,111,3.774774774774775
4,7,Death,45,111,0.40540540540540543
4,7,Kicks,17,111,0.15315315315315314
4,7,KilledBy,12,111,0.10810810810810811
4,7,Logins,253,111,2.279279279279279
4,8,BlockBreak,107449,1769,60.739966082532504
4,8,BlockPlace,39865,1769,22.535330695308083
4,8,Chat,1511,1769,0.8541548897682306
4,8,CraftedItems,4519,1769,2.5545505935556814
4,8,Death,1257,1769,0.7105709440361786
4,8,Kicks,1081,1769,0.6110797060486151
4,8,KilledBy,810,1769,0.4578858111927643
4,8,Logins,4189,1769,2.3680045223289996
4,9,BlockBreak,39005,287,135.90592334494772
4,9,BlockPlace,32104,287,111.86062717770035
4,9,Chat,252,287,0.8780487804878049
4,9,CraftedItems,2565,287,8.937282229965156
4,9,Death,265,287,0.9233449477351916
4,9,Kicks,58,287,0.20209059233449478
4,9,KilledBy,148,287,0.5156794425087108
4,9,Logins,684,287,2.3832752613240418
4,10,BlockBreak,33209,239,138.94979079497907
4,10,BlockPlace,38871,239,162.64016736401675
4,10,Chat,81,239,0.3389121338912134
4,10,CraftedItems,2000,239,8.368200836820083
4,10,Death,198,239,0.8284518828451883
4,10,Kicks,43,239,0.1799163179916318
4,10,KilledBy,33,239,0.13807531380753138
4,10,Logins,579,239,2.422594142259414
4,11,BlockBreak,86753,573,151.40139616055848
4,11,BlockPlace,26693,573,46.5846422338569
4,11,Chat,21,573,0.03664921465968586
4,11,CraftedItems,1395,573,2.4345549738219896
4,11,Death,774,573,1.350785340314136
4,11,Kicks,55,573,0.09598603839441536
4,11,KilledBy,389,573,0.6788830715532286
4,11,Logins,1344,573,2.345549738219895
4,12,BlockBreak,270520,948,285.3586497890295
4,12,BlockPlace,75993,948,80.1613924050633
4,12,Chat,2687,948,2.8343881856540083
4,12,CraftedItems,4365,948,4.6044303797468356
4,12,Death,6022,948,6.352320675105485
4,12,Kicks,148,948,0.15611814345991562
4,12,KilledBy,4840,948,5.105485232067511
4,12,Logins,3209,948,3.3850210970464136
4,13,BlockBreak,413894,1945,212.79897172236502
4,13,BlockPlace,277298,1945,142.56966580976865
4,13,Chat,3552,1945,1.8262210796915168
4,13,CraftedItems,23374,1945,12.017480719794344
4,13,Death,1776,1945,0.9131105398457584
4,13,Kicks,184,1945,0.09460154241645244
